kpi_id,fitness_value,task_id,staff_id,weight
KPI.No1,15.611954689025879,Task.No1,Staff.No1,0.2129971981048584
KPI.No1,15.611954689025879,Task.No1,Staff.No2,0.18876977264881134
KPI.No1,15.611954689025879,Task.No1,Staff.No3,0.21900354325771332
KPI.No1,15.611954689025879,Task.No1,Staff.No4,0.20661784708499908
KPI.No1,15.611954689025879,Task.No1,Staff.No5,0.21309086680412292
KPI.No1,15.611954689025879,Task.No2,Staff.No1,0.21790911257266998
KPI.No1,15.611954689025879,Task.No2,Staff.No2,0.2074475735425949
KPI.No1,15.611954689025879,Task.No2,Staff.No3,0.1880652904510498
KPI.No1,15.611954689025879,Task.No2,Staff.No4,0.19842621684074402
KPI.No1,15.611954689025879,Task.No2,Staff.No5,0.202458456158638
KPI.No1,15.611954689025879,Task.No3,Staff.No1,0.20994389057159424
KPI.No1,15.611954689025879,Task.No3,Staff.No2,0.211615651845932
KPI.No1,15.611954689025879,Task.No3,Staff.No3,0.19406701624393463
KPI.No1,15.611954689025879,Task.No3,Staff.No4,0.22097542881965637
KPI.No1,15.611954689025879,Task.No3,Staff.No5,0.2197483479976654
KPI.No2,15.611954689025879,Task.No1,Staff.No1,0.22172126173973083
KPI.No2,15.611954689025879,Task.No1,Staff.No2,0.21362373232841492
KPI.No2,15.611954689025879,Task.No1,Staff.No3,0.2239864617586136
KPI.No2,15.611954689025879,Task.No1,Staff.No4,0.2132238745689392
KPI.No2,15.611954689025879,Task.No1,Staff.No5,0.20649303495883942
KPI.No2,15.611954689025879,Task.No2,Staff.No1,0.18398968875408173
KPI.No2,15.611954689025879,Task.No2,Staff.No2,0.21066582202911377
KPI.No2,15.611954689025879,Task.No2,Staff.No3,0.2270759493112564
KPI.No2,15.611954689025879,Task.No2,Staff.No4,0.22122524678707123
KPI.No2,15.611954689025879,Task.No2,Staff.No5,0.1915430873632431
KPI.No2,15.611954689025879,Task.No3,Staff.No1,0.22567111253738403
KPI.No2,15.611954689025879,Task.No3,Staff.No2,0.19286112487316132
KPI.No2,15.611954689025879,Task.No3,Staff.No3,0.21894486248493195
KPI.No2,15.611954689025879,Task.No3,Staff.No4,0.21482768654823303
KPI.No2,15.611954689025879,Task.No3,Staff.No5,0.20381562411785126
KPI.No3,15.611954689025879,Task.No1,Staff.No1,0.20063230395317078
KPI.No3,15.611954689025879,Task.No1,Staff.No2,0.20161674916744232
KPI.No3,15.611954689025879,Task.No1,Staff.No3,0.206182062625885
KPI.No3,15.611954689025879,Task.No1,Staff.No4,0.19704711437225342
KPI.No3,15.611954689025879,Task.No1,Staff.No5,0.21457527577877045
KPI.No3,15.611954689025879,Task.No2,Staff.No1,0.2083691954612732
KPI.No3,15.611954689025879,Task.No2,Staff.No2,0.22032101452350616
KPI.No3,15.611954689025879,Task.No2,Staff.No3,0.21074286103248596
KPI.No3,15.611954689025879,Task.No2,Staff.No4,0.22253677248954773
KPI.No3,15.611954689025879,Task.No2,Staff.No5,0.2273121327161789
KPI.No3,15.611954689025879,Task.No3,Staff.No1,0.20723293721675873
KPI.No3,15.611954689025879,Task.No3,Staff.No2,0.1992657631635666
KPI.No3,15.611954689025879,Task.No3,Staff.No3,0.2024250328540802
KPI.No3,15.611954689025879,Task.No3,Staff.No4,0.18597985804080963
KPI.No3,15.611954689025879,Task.No3,Staff.No5,0.2145977020263672
KPI.No4,15.611954689025879,Task.No1,Staff.No1,0.2160680890083313
KPI.No4,15.611954689025879,Task.No1,Staff.No2,0.19738328456878662
KPI.No4,15.611954689025879,Task.No1,Staff.No3,0.2167956680059433
KPI.No4,15.611954689025879,Task.No1,Staff.No4,0.20385006070137024
KPI.No4,15.611954689025879,Task.No1,Staff.No5,0.19773586094379425
KPI.No4,15.611954689025879,Task.No2,Staff.No1,0.21879784762859344
KPI.No4,15.611954689025879,Task.No2,Staff.No2,0.20334947109222412
KPI.No4,15.611954689025879,Task.No2,Staff.No3,0.19801047444343567
KPI.No4,15.611954689025879,Task.No2,Staff.No4,0.20191019773483276
KPI.No4,15.611954689025879,Task.No2,Staff.No5,0.1983809620141983
KPI.No4,15.611954689025879,Task.No3,Staff.No1,0.1976029872894287
KPI.No4,15.611954689025879,Task.No3,Staff.No2,0.2155422866344452
KPI.No4,15.611954689025879,Task.No3,Staff.No3,0.20440788567066193
KPI.No4,15.611954689025879,Task.No3,Staff.No4,0.21171829104423523
KPI.No4,15.611954689025879,Task.No3,Staff.No5,0.1862107664346695
KPI.No5,15.611954689025879,Task.No1,Staff.No1,0.22396458685398102
KPI.No5,15.611954689025879,Task.No1,Staff.No2,0.21046367287635803
KPI.No5,15.611954689025879,Task.No1,Staff.No3,0.2218175083398819
KPI.No5,15.611954689025879,Task.No1,Staff.No4,0.21470008790493011
KPI.No5,15.611954689025879,Task.No1,Staff.No5,0.21304325759410858
KPI.No5,15.611954689025879,Task.No2,Staff.No1,0.19288387894630432
KPI.No5,15.611954689025879,Task.No2,Staff.No2,0.22317880392074585
KPI.No5,15.611954689025879,Task.No2,Staff.No3,0.2171602100133896
KPI.No5,15.611954689025879,Task.No2,Staff.No4,0.19074618816375732
KPI.No5,15.611954689025879,Task.No2,Staff.No5,0.20652076601982117
KPI.No5,15.611954689025879,Task.No3,Staff.No1,0.20420382916927338
KPI.No5,15.611954689025879,Task.No3,Staff.No2,0.19069121778011322
KPI.No5,15.611954689025879,Task.No3,Staff.No3,0.21643505990505219
KPI.No5,15.611954689025879,Task.No3,Staff.No4,0.2017543762922287
KPI.No5,15.611954689025879,Task.No3,Staff.No5,0.21698367595672607
